,Year,State,Population,GSP ($ million),Energy consumption (PJ),Energy consumption per capita (GJ/person),Energy intensity (GJ/$ million),Energy productivity ($ million/PJ)
119,2020,New South Wales,8544949,666775,1477.8,172.9,2216.3,451.2
120,2020,Northern Territory,248943,26339,146.5,588.4,5561.5,179.8
121,2020,Queensland,5175003,361709,1478.7,285.7,4088.0,244.6
122,2020,South Australia,1793547,110652,319.5,178.1,2887.0,346.4
123,2020,Tasmania,563507,32840,100.1,177.6,3047.3,328.2
124,2020,Victoria,6606149,470072,1213.3,183.7,2581.2,387.4
125,2020,Western Australia,2718400,312478,1268.1,466.5,4058.3,246.4
126,2021,New South Wales,8547373,677009,1402.4,164.1,2071.5,482.8
127,2021,Northern Territory,249200,26181,145.1,582.4,5543.4,180.4
128,2021,Queensland,5217653,368977,1445.2,277.0,3916.8,255.3
129,2021,South Australia,1803192,114921,311.2,172.6,2707.6,369.3
130,2021,Tasmania,567909,34083,103.0,181.4,3021.9,330.9
131,2021,Victoria,6548040,468264,1136.2,173.5,2426.4,412.1
132,2021,Western Australia,2749864,320653,1246.5,453.3,3887.3,257.2
